year,name,gender,ratio,females,males,total
2014,Emma,F,100,20799,12,20811
2014,Olivia,F,100,19674,22,19696
2014,Noah,M,99,106,19144,19250
2014,Sophia,F,100,18490,17,18507
2014,Liam,M,100,32,18342,18374
2014,Mason,M,100,78,17092,17170
2014,Isabella,F,100,16950,19,16969
2014,Jacob,M,100,13,16712,16725
2014,William,M,100,23,16687,16710
2014,Ethan,M,100,18,15619,15637
2014,Ava,F,100,15586,14,15600
2014,Michael,M,100,35,15323,15358
2014,Alexander,M,100,33,15293,15326
2014,Logan,M,94,828,13579,14407
2014,James,M,100,42,14301,14343
2014,Daniel,M,100,25,13829,13854
2014,Elijah,M,100,34,13694,13728
2014,Benjamin,M,100,17,13687,13704
2014,Mia,F,100,13442,13,13455
2014,Jayden,M,96,569,12878,13447
2014,Aiden,M,100,57,13296,13353
2014,Matthew,M,100,14,12809,12823
2014,Emily,F,100,12562,11,12573
2014,Jackson,M,100,25,12121,12146
2014,David,M,100,13,12078,12091
2014,Lucas,M,100,7,12078,12085
2014,Joseph,M,100,6,11995,12001
2014,Abigail,F,100,11985,12,11997
2014,Avery,F,81,9517,2269,11786
2014,Anthony,M,100,17,11490,11507
2014,Dylan,M,93,822,10350,11172
2014,Andrew,M,100,11,11069,11080
2014,Carter,M,97,355,10599,10954
2014,Gabriel,M,99,59,10826,10885
2014,Samuel,M,100,13,10859,10872
2014,Joshua,M,100,15,10764,10779
2014,John,M,100,14,10600,10614
2014,Luke,M,100,13,10431,10444
2014,Christopher,M,100,15,10278,10293
2014,Madison,F,100,10247,40,10287
2014,Charlotte,F,100,10048,7,10055
2014,Harper,F,97,9564,327,9891
2014,Isaac,M,100,13,9868,9881
2014,Ryan,M,94,603,9026,9629
2014,Sofia,F,100,9542,9,9551
2014,Elizabeth,F,100,9492,6,9498
2014,Oliver,M,100,13,9365,9378
2014,Henry,M,100,9,9350,9359
2014,Sebastian,M,100,9,9237,9246
2014,Caleb,M,100,14,9143,9157
2014,Owen,M,100,23,9100,9123
2014,Hunter,M,96,362,8759,9121
2014,Nathan,M,100,8,8902,8910
2014,Wyatt,M,100,18,8812,8830
2014,Amelia,F,100,8727,8,8735
2014,Evelyn,F,100,8692,5,8697
2014,Jack,M,100,9,8685,8694
2014,Christian,M,98,132,8388,8520
2014,Ella,F,100,8489,7,8496
2014,Chloe,F,100,8469,6,8475
2014,Landon,M,100,12,8180,8192
2014,Jordan,M,84,1300,6810,8110
2014,Jonathan,M,100,10,8035,8045
2014,Levi,M,99,45,7958,8003
2014,Victoria,F,100,7955,9,7964
2014,Aubrey,F,98,7589,133,7722
2014,Jaxon,M,100,20,7635,7655
2014,Julian,M,100,29,7611,7640
2014,Grace,F,100,7554,12,7566
2014,Isaiah,M,100,11,7530,7541
2014,Cameron,M,93,524,7013,7537
2014,Eli,M,100,21,7428,7449
2014,Angel,M,84,1179,6255,7434
2014,Zoey,F,100,7358,11,7369
2014,Aaron,M,100,23,7334,7357
2014,Charles,M,100,15,7269,7284
2014,Connor,M,100,27,7195,7222
2014,Riley,F,66,4761,2429,7190
2014,Addison,F,98,6950,129,7079
2014,Natalie,F,100,7061,7,7068
2014,Parker,M,80,1386,5677,7063
2014,Thomas,M,100,5,6972,6977
2014,Lillian,F,100,6869,0,6869
2014,Brooklyn,F,99,6767,68,6835
2014,Jeremiah,M,100,11,6780,6791
2014,Adrian,M,98,105,6659,6764
2014,Evan,M,99,75,6667,6742
2014,Lily,F,100,6727,6,6733
2014,Nicholas,M,100,11,6713,6724
2014,Grayson,M,98,163,6532,6695
2014,Gavin,M,100,10,6582,6592
2014,Robert,M,100,6,6572,6578
2014,Brayden,M,100,24,6539,6563
2014,Hannah,F,100,6512,0,6512
2014,Layla,F,100,6428,6,6434
2014,Josiah,M,100,10,6376,6386
2014,Austin,M,98,121,6263,6384
2014,Colton,M,100,9,6339,6348
2014,Jace,M,99,42,6254,6296
2014,Peyton,F,71,4426,1828,6254
2014,Dominic,M,100,14,6205,6219
2014,Scarlett,F,100,5965,0,5965
2014,Tyler,M,97,168,5785,5953
2014,Aria,F,100,5893,14,5907
2014,Kevin,M,100,14,5859,5873
2014,Zoe,F,100,5828,21,5849
2014,Brandon,M,100,0,5804,5804
2014,Samantha,F,100,5680,12,5692
2014,Ayden,M,99,79,5586,5665
2014,Anna,F,100,5639,0,5639
2014,Leah,F,100,5563,8,5571
2014,Audrey,F,100,5531,5,5536
2014,Jason,M,100,6,5510,5516
2014,Ariana,F,100,5461,10,5471
2014,Jose,M,100,10,5442,5452
2014,Allison,F,100,5440,9,5449
2014,Savannah,F,100,5433,0,5433
2014,Ian,M,100,6,5422,5428
2014,Blake,M,91,499,4913,5412
2014,Chase,M,99,72,5322,5394
2014,Alexis,F,78,4188,1172,5360
2014,Hudson,M,98,111,5199,5310
2014,Adam,M,100,7,5293,5300
2014,Arianna,F,100,5240,5,5245
2014,Camila,F,100,5194,7,5201
2014,Nolan,M,100,20,5181,5201
2014,Zachary,M,100,6,5137,5143
2014,Skylar,F,92,4732,409,5141
2014,Kayden,M,92,391,4691,5082
2014,Penelope,F,100,5062,0,5062
2014,Gabriella,F,100,5051,0,5051
2014,Easton,M,99,65,4961,5026
2014,Claire,F,100,4991,0,4991
2014,Cooper,M,98,122,4803,4925
2014,Lincoln,M,97,127,4785,4912
2014,Jaxson,M,100,7,4900,4907
2014,Bentley,M,96,173,4722,4895
2014,Aaliyah,F,100,4850,5,4855
2014,Sadie,F,100,4823,0,4823
2014,Carson,M,96,173,4580,4753
2014,Xavier,M,100,12,4726,4738
2014,Nora,F,100,4708,5,4713
2014,Sarah,F,100,4647,0,4647
2014,Kennedy,F,97,4459,156,4615
2014,Hailey,F,100,4595,0,4595
2014,Sawyer,M,79,955,3571,4526
2014,Kaylee,F,100,4513,5,4518
2014,Hayden,M,63,1656,2851,4507
2014,Paisley,F,100,4473,6,4479
2014,Taylor,F,85,3782,691,4473
2014,Ellie,F,100,4442,12,4454
2014,Asher,M,98,74,4279,4353
2014,Annabelle,F,100,4324,0,4324
2014,Caroline,F,100,4307,6,4313
2014,Brody,M,100,12,4297,4309
2014,Serenity,F,100,4284,7,4291
2014,Madelyn,F,100,4289,0,4289
2014,Lucy,F,100,4257,6,4263
2014,Aubree,F,100,4258,0,4258
2014,Nathaniel,M,100,0,4257,4257
2014,Alexa,F,100,4227,7,4234
2014,Genesis,F,99,4144,63,4207
2014,Ryder,M,97,129,4073,4202
2014,Nevaeh,F,100,4188,6,4194
2014,Stella,F,100,4165,6,4171
2014,Violet,F,100,4156,9,4165
2014,Mackenzie,F,99,4122,30,4152
2014,Bella,F,100,4050,7,4057
2014,Autumn,F,100,4034,6,4040
2014,Mila,F,100,4033,6,4039
2014,Justin,M,100,5,3991,3996
2014,Camden,M,97,115,3872,3987
2014,Leo,M,100,15,3936,3951
2014,Kylie,F,100,3928,5,3933
2014,Tristan,M,98,61,3872,3933
2014,Maya,F,100,3904,0,3904
2014,Juan,M,100,8,3887,3895
2014,Luis,M,100,6,3879,3885
2014,Micah,M,93,264,3612,3876
2014,Damian,M,100,6,3866,3872
2014,Piper,F,100,3840,11,3851
2014,Alyssa,F,100,3798,8,3806
2014,Elias,M,100,5,3751,3756
2014,Vincent,M,100,0,3744,3744
2014,Maxwell,M,99,34,3703,3737
2014,Jase,M,100,15,3719,3734
2014,Mateo,M,100,5,3704,3709
2014,Eleanor,F,100,3704,0,3704
2014,London,F,88,3264,433,3697
2014,Melanie,F,100,3681,6,3687
2014,Naomi,F,100,3677,0,3677
2014,Faith,F,100,3664,10,3674
2014,Katherine,F,100,3651,7,3658
2014,Miles,M,99,19,3639,3658
2014,Eva,F,100,3651,6,3657
2014,Lydia,F,100,3609,0,3609
2014,Brianna,F,100,3582,0,3582
2014,Ashley,F,99,3539,40,3579
2014,Julia,F,100,3578,0,3578
2014,Ezra,M,96,155,3372,3527
2014,Khloe,F,100,3518,0,3518
2014,Jesus,M,100,9,3504,3513
2014,Max,M,100,14,3468,3482
2014,Roman,M,100,16,3435,3451
2014,Leonardo,M,100,5,3431,3436
2014,Santiago,M,100,0,3417,3417
2014,Cole,M,100,9,3404,3413
2014,Madeline,F,100,3409,0,3409
2014,Bryson,M,100,11,3397,3408
2014,Quinn,F,75,2539,868,3407
2014,Carlos,M,100,0,3402,3402
2014,Morgan,F,88,2984,402,3386
2014,Ruby,F,100,3383,0,3383
2014,Brantley,M,99,45,3322,3367
